x,y
-7.67532, -1.49104
-7.70736, -1.55472
-7.62935, -1.58344
-7.5605, -1.59979
-7.65319, -1.5782
-7.70798, -1.55556
-7.6684, -1.51432
-7.72567, -1.54912
-7.73011, -1.60677
-7.77258, -1.50851
-7.7125, -1.49901
-7.66616, -1.45856
-7.75104, -1.47742
-7.73306, -1.52717
-7.68024, -1.57747
-7.64496, -1.61779
-7.69834, -1.62341
-7.6621, -1.58228
-7.71691, -1.54819
-7.69642, -1.49359
-7.7439, -1.56461
-7.76769, -1.61156
-7.81474, -1.64903
-7.78564, -1.74027
-7.84554, -1.74547
-7.89062, -1.71177
-7.93783, -1.74753
-8.00995, -1.79412
-8.08531, -1.86523
-8.14031, -1.93244
-8.13778, -2.06517
-8.21253, -2.13144
-8.30094, -2.18301
-8.23507, -2.28343
-8.22668, -2.37533
-8.19241, -2.46012
-8.23863, -2.55505
-8.17147, -2.57636
-8.18189, -2.64275
-8.22049, -2.70386
-8.17889, -2.77741
-8.18409, -2.84463
-8.14696, -2.9116
-8.11197, -2.96929
-8.11843, -3.01986
-8.06877, -3.07992
-8.09361, -3.12801
-8.08128, -3.18685
-8.10083, -3.23396
-8.06144, -3.2743
-8.10923, -3.32491
-8.11852, -3.39074
-8.15806, -3.4281
-8.13841, -3.50956
-8.12087, -3.57204
-8.03239, -3.63504
-8.02709, -3.70032
-8.07624, -3.75143
-8.0319, -3.80752
-8.06589, -3.88657
-8.01319, -3.94165
-7.97159, -3.99406
-7.94228, -4.04587
-7.89897, -4.09498
-7.87501, -4.16695
-7.87248, -4.231
-7.7897, -4.29951
-7.71996, -4.36911
-7.67752, -4.44208
-7.60387, -4.49241
-7.55295, -4.48881
-7.47692, -4.5243
-7.42459, -4.55491
-7.34794, -4.57836
-7.2531, -4.61774
-7.18444, -4.67573
-7.11827, -4.71035
-7.05462, -4.72101
-6.9499, -4.71395
-6.81134, -4.72762
-6.75892, -4.73919
-6.68243, -4.77523
-6.61006, -4.79113
-6.54288, -4.78588
-6.48619, -4.76034
-6.3836, -4.70195
-6.30717, -4.68894
-6.27005, -4.64414
-6.20216, -4.65914
-6.12512, -4.63934
-6.07168, -4.65063
-6.01732, -4.66497
-5.95363, -4.68637
-5.79288, -4.70001
-5.71804, -4.67267
-5.66492, -4.67604
-5.58549, -4.71923
-5.54622, -4.65813
-5.49457, -4.61858
-5.40858, -4.60449
-5.34499, -4.58891
-5.20348, -4.63582
-5.15657, -4.58742
-5.09309, -4.58979
-5.01847, -4.58427
-4.93595, -4.56864
-4.80679, -4.53279
-4.75209, -4.54171
-4.67915, -4.53109
-4.58927, -4.53801
-4.49684, -4.55214
-4.36268, -4.57907
-4.30832, -4.56145
-4.23313, -4.56888
-4.18141, -4.58595
-4.09325, -4.56906
-3.94652, -4.55133
-3.88835, -4.5393
-3.83666, -4.52611
-3.78495, -4.51892
-3.73354, -4.51892
-3.66897, -4.54394
-3.58939, -4.52075
-3.51404, -4.51381
-3.42183, -4.49965
-3.31831, -4.51377
-3.20736, -4.51801
-3.16359, -4.4828
-3.11168, -4.4969
-3.06006, -4.4618
-2.99715, -4.48139
-2.94182, -4.47619
-2.85859, -4.48928
-2.75299, -4.51587
-2.65111, -4.51646
-2.56371, -4.54863
-2.47414, -4.52139
-2.4064, -4.52432
-2.292, -4.49279
-2.23219, -4.49358
-2.17825, -4.52407
-2.08412, -4.50483
-2.00849, -4.48808
-1.91173, -4.51342
-1.85441, -4.5109
-1.80204, -4.49778
-1.70027, -4.51589
-1.63012, -4.52797
-1.56769, -4.51242
-1.51863, -4.49771
-1.45208, -4.45305
-1.37773, -4.42442
-1.32733, -4.3891
-1.24142, -4.39664
-1.16909, -4.40802
-1.05056, -4.40727
-0.980171, -4.37072
-0.901963, -4.3524
-0.788348, -4.32648
-0.73794, -4.32205
-0.684019, -4.30352
-0.610697, -4.27526
-0.576756, -4.23196
-0.514633, -4.21237
-0.475524, -4.17516
-0.405864, -4.12981
-0.338345, -4.0841
-0.255031, -4.0458
-0.216557, -4.01298
-0.182945, -3.96847
-0.199379, -3.90504
-0.196341, -3.831
-0.195673, -3.71147
-0.206969, -3.6441
-0.21584, -3.59315
-0.162115, -3.50289
-0.129525, -3.42743
-0.120436, -3.36368
-0.100119, -3.30845
-0.132693, -3.26369
-0.154084, -3.18873
-0.16929, -3.10903
-0.158252, -3.04787
-0.179231, -2.97222
-0.175889, -2.88102
-0.208573, -2.8181
-0.20542, -2.74149
-0.222737, -2.66507
-0.239595, -2.59308
-0.275643, -2.48168
-0.299361, -2.43676
-0.320423, -2.38054
-0.329662, -2.30975
-0.348623, -2.24125
-0.337296, -2.18145
-0.420439, -2.11943
-0.475557, -2.06125
-0.428353, -1.95001
-0.428802, -1.86789
-0.421604, -1.80142
-0.441485, -1.68694
-0.466262, -1.6191
-0.446972, -1.53813
-0.494784, -1.50357
-0.543461, -1.45739
-0.580181, -1.42292
-0.710008, -1.39182
-0.747162, -1.33814
-0.803011, -1.31746
-0.888842, -1.29255
-0.957616, -1.28018
-1.06582, -1.22746
-1.13083, -1.19482
-1.18669, -1.20631
-1.31234, -1.21033
-1.37515, -1.20561
-1.39578, -1.1376
-1.44454, -1.10834
-1.57505, -1.09922
-1.65073, -1.10961
-1.75908, -1.1423
-1.8132, -1.11885
-1.90223, -1.11494
-1.96077, -1.10146
-2.09365, -1.0914
-2.17343, -1.0907
-2.22679, -1.0883
-2.28334, -1.07094
-2.35602, -1.11621
-2.37449, -1.06274
-2.51943, -1.04829
-2.59116, -1.07988
-2.69782, -1.11577
-2.76969, -1.13399
-2.92664, -1.18378
-2.99187, -1.18108
-3.0478, -1.17621
-3.11453, -1.17473
-3.17161, -1.1878
-3.22573, -1.18051
-3.31439, -1.17925
-3.37713, -1.19245
-3.46945, -1.20559
-3.54752, -1.20822
-3.64154, -1.18264
-3.72513, -1.18627
-3.78527, -1.20446
-3.83653, -1.21439
-3.91323, -1.23445
-3.96931, -1.22306
-4.02147, -1.24806
-4.07165, -1.23199
-4.16157, -1.24111
-4.27185, -1.24267
-4.34723, -1.27778
-4.44478, -1.28541
-4.56312, -1.31054
-4.62109, -1.30812
-4.72737, -1.29357
-4.80015, -1.25822
-4.8781, -1.26365
-4.9585, -1.27006
-5.00796, -1.25479
-5.06912, -1.27489
-5.17615, -1.29918
-5.2339, -1.27707
-5.33901, -1.31201
-5.40051, -1.29973
-5.46383, -1.31162
-5.55069, -1.32088
-5.5991, -1.34226
-5.67746, -1.33856
-5.75857, -1.31989
-5.88042, -1.31868
-5.93056, -1.31074
-5.99724, -1.30677
-6.12156, -1.29391
-6.17029, -1.30586
-6.25371, -1.33443
-6.31173, -1.32488
-6.36665, -1.32413
-6.41979, -1.30632
-6.48786, -1.29955
-6.56324, -1.27718
-6.66737, -1.29767
-6.73098, -1.29014
-6.7923, -1.27317
-6.8947, -1.23716
-6.94188, -1.2713
-7.0428, -1.25819
-7.09504, -1.29517
-7.24218, -1.28889
-7.30599, -1.29798
-7.3522, -1.35005
-7.47536, -1.40304
-7.39194, -1.37175
-7.48616, -1.35144
-7.53481, -1.39106
-7.46662, -1.41141
-7.51559, -1.42586
-7.55222, -1.49595
-7.61071, -1.52833
-7.67, -1.52641
-7.74645, -1.52369
-7.79191, -1.55314
-7.73226, -1.57532
-7.69543, -1.64244
-7.6478, -1.62487
-7.61242, -1.6682
-7.66825, -1.70085
-7.72441, -1.67443
-7.75294, -1.61698
-7.80351, -1.61466
-7.75778, -1.65867
-7.7081, -1.67306
