x,y

8.61235, -6.25461
8.56999, -6.21908
8.62347, -6.24469
8.61119, -6.18936
8.54721, -6.23027
8.61809, -6.24098
8.56584, -6.25509
8.61824, -6.22592
8.57395, -6.27561
8.52332, -6.27956
8.47652, -6.20486
8.49964, -6.26411
8.57119, -6.27147
8.65223, -6.26978
8.55478, -6.28095
8.48978, -6.28235
8.55972, -6.30027
8.61616, -6.33044
8.5913, -6.27933
8.54022, -6.26935
8.54348, -6.20027
8.49007, -6.24421
8.47623, -6.31265
8.45652, -6.41514
8.44909, -6.47902
8.44981, -6.53275
8.45503, -6.58438
8.40027, -6.64565
8.44377, -6.71443
8.20991, -6.81268
8.20101, -6.88858
8.21125, -6.95928
8.14605, -6.93402
8.12023, -6.97981
8.12554, -7.04007
8.12923, -7.11654
8.08712, -7.14934
8.03312, -7.16255
7.98092, -7.19992
7.94518, -7.24322
7.86363, -7.31265
7.88, -7.36166
7.86649, -7.42538
7.80625, -7.46338
7.75403, -7.49919
7.69378, -7.53323
7.69139, -7.59055
7.6059, -7.6423
7.58104, -7.69008
7.55078, -7.74155
7.51118, -7.79067
7.48874, -7.83816
7.48917, -7.89381
7.44552, -7.9447
7.39221, -7.95115
7.35953, -7.99078
7.31658, -8.05173
7.26348, -8.0472
7.27609, -8.09774
7.23439, -8.12733
7.1562, -8.16602
7.15104, -8.23375
7.11946, -8.28588
7.0838, -8.33891
7.06452, -8.39555
7.01628, -8.4149
7.03555, -8.46493
6.9899, -8.54084
6.95889, -8.59172
6.93854, -8.6494
6.94409, -8.70421
6.89592, -8.75106
6.83851, -8.79943
6.89408, -8.85849
6.85287, -8.895
6.79833, -8.97243
6.74661, -8.98502
6.69968, -9.04676
6.7174, -9.10527
6.6611, -9.12817
6.62541, -9.18991
6.60443, -9.24205
6.51868, -9.3197
6.57626, -9.32825
6.53733, -9.36466
6.5506, -9.4316
6.53877, -9.50034
6.48961, -9.58059
6.47197, -9.63219
6.47795, -9.6849
6.40163, -9.73396
6.44279, -9.78734
6.36375, -9.81548
6.23722, -9.87336
6.20009, -9.93032
6.22828, -9.99229
6.18835, -10.064
6.13629, -10.1817
6.14268, -10.2478
6.09237, -10.2595
6.03886, -10.3062
5.9803, -10.342
6.02832, -10.4373
6.04269, -10.5065
5.98569, -10.5531
5.96445, -10.6028
5.87559, -10.6629
5.83995, -10.7052
5.868, -10.7618
5.76114, -10.8591
5.73715, -10.9246
5.68005, -10.9983
5.65188, -11.0733
5.70919, -11.1245
5.6662, -11.1699
5.61898, -11.2066
5.61474, -11.2618
5.61788, -11.3424
5.54439, -11.4113
5.52234, -11.4668
5.55058, -11.5085
5.60064, -11.5715
5.56984, -11.6457
5.61299, -11.6883
5.56627, -11.769
5.60053, -11.8559
5.6365, -11.9121
5.69433, -11.9535
5.77125, -11.9533
5.78138, -12.0342
5.79686, -12.1373
5.87493, -12.1042
5.91928, -12.0795
5.94476, -12.1368
5.98503, -12.2034
6.01763, -12.2617
6.06488, -12.2845
6.06054, -12.3404
6.13921, -12.3772
6.1812, -12.419
6.23464, -12.4646
6.27389, -12.4979
6.35568, -12.5152
6.41693, -12.5362
6.40098, -12.5946
6.49655, -12.6184
6.55113, -12.6952
6.61464, -12.7144
6.68942, -12.7874
6.68584, -12.8527
6.73548, -12.877
6.79101, -12.8869
6.87234, -12.8978
6.93318, -12.9185
6.9867, -12.9379
7.0478, -12.9599
7.13791, -13.0101
7.17649, -13.0772
7.26449, -13.089
7.31959, -13.1248
7.40347, -13.1154
7.45953, -13.1427
7.53754, -13.1339
7.5287, -13.0747
7.6083, -13.0643
7.66405, -13.0281
7.67815, -12.9607
7.76222, -12.951
7.84172, -12.9443
7.9078, -12.8918
7.93184, -12.8327
8.0261, -12.7997
8.08654, -12.7634
8.10601, -12.6872
8.17694, -12.6639
8.20415, -12.586
8.20739, -12.506
8.24012, -12.4396
8.27997, -12.3646
8.3728, -12.3459
8.42381, -12.307
8.42421, -12.2507
8.47523, -12.1761
8.43237, -12.1447
8.48869, -12.1381
8.5469, -12.1119
8.5811, -12.0749
8.63473, -12.036
8.67947, -12.0002
8.66178, -11.9343
8.75372, -11.9051
8.71492, -11.8718
8.7805, -11.8024
8.84927, -11.7737
8.88119, -11.7304
9.01298, -11.6825
9.07527, -11.6268
9.14516, -11.5263
9.08873, -11.4947
9.10581, -11.4307
9.04774, -11.4243
8.99329, -11.4328
8.94643, -11.4069
9.00405, -11.3486
9.01276, -11.2911
9.0855, -11.2643
9.11617, -11.206
9.08528, -11.1622
9.1453, -11.1287
9.23094, -11.1216
9.23408, -11.0582
9.29544, -11.0519
9.31252, -10.9835
9.37272, -10.9491
9.40949, -10.882
9.43968, -10.8259
9.3938, -10.8038
9.46403, -10.7451
9.48407, -10.6829
9.51857, -10.6311
9.5985, -10.6031
9.671, -10.5652
9.74709, -10.5403
9.68047, -10.5724
9.74606, -10.4742
9.78624, -10.4325
9.81937, -10.368
9.83902, -10.2981
9.87509, -10.2586
9.87198, -10.2067
9.95054, -10.1653
10.0021, -10.1416
10.0186, -10.0682
10.0883, -10.027
10.1368, -9.98835
10.1635, -9.94163
10.178, -9.88292
10.1916, -9.82052
10.2502, -9.79152
10.293, -9.75149
10.3614, -9.73264
10.412, -9.65638
