x,y
8.87889, -6.1019
8.84967, -6.14917
8.90367, -6.14928
8.84365, -6.13744
8.87704, -6.07486
8.82688, -6.10063
8.8792, -6.09137
8.90357, -6.13837
8.82983, -6.13357
8.76757, -6.11311
8.82319, -6.1133
8.8347, -6.06003
8.83155, -6.11167
8.8525, -6.1636
8.80435, -6.22081
8.77893, -6.28033
8.75604, -6.34007
8.68507, -6.35206
8.6505, -6.39973
8.60264, -6.42046
8.6187, -6.4698
8.55312, -6.49849
8.53998, -6.55561
8.51385, -6.6123
8.51545, -6.66709
8.45829, -6.71
8.39021, -6.75191
8.35846, -6.79735
8.34994, -6.86472
8.31277, -6.90645
8.29927, -6.95672
8.2473, -6.963
8.24776, -7.01591
8.25045, -7.07214
8.20036, -7.09697
8.24999, -7.10329
8.1913, -7.13539
8.13352, -7.16584
8.10678, -7.21425
8.11544, -7.26366
8.08489, -7.30846
8.02922, -7.35242
8.00494, -7.40596
7.9511, -7.45099
7.92595, -7.50649
7.87346, -7.55253
7.83953, -7.59365
7.80138, -7.68139
7.77112, -7.72216
7.71651, -7.8002
7.6849, -7.86221
7.65841, -7.9368
7.63007, -8.02504
7.56413, -8.07544
7.5478, -8.13075
7.48786, -8.15701
7.46351, -8.21126
7.41105, -8.27272
7.36877, -8.29948
7.31702, -8.36139
7.25293, -8.4056
7.21276, -8.45751
7.12623, -8.51571
7.09871, -8.55894
7.1084, -8.61366
7.06026, -8.64519
7.03394, -8.69264
7.05473, -8.74258
7.01235, -8.79345
7.00231, -8.86616
6.97038, -8.90751
7.00309, -8.97554
6.98758, -9.07397
6.9512, -9.13613
7.00177, -9.20509
6.93093, -9.21704
6.97549, -9.26385
6.97106, -9.34679
7.01538, -9.37706
7.0855, -9.38772
7.08687, -9.44874
7.07163, -9.50001
7.04251, -9.55419
7.1141, -9.57228
7.19992, -9.63037
7.24859, -9.65916
7.35164, -9.65608
7.37262, -9.73735
7.44206, -9.7379
7.50219, -9.80629
7.55222, -9.83714
7.64049, -9.86617
7.69224, -9.84537
7.78023, -9.86913
7.88401, -9.92378
7.90664, -9.9801
8.03186, -10.02
8.08132, -10.056
8.14275, -10.0835
8.19251, -10.1031
8.25837, -10.1147
8.34053, -10.1761
8.39313, -10.199
8.46653, -10.2018
8.52275, -10.2043
8.58209, -10.2055
8.64621, -10.2415
8.71211, -10.2758
8.71084, -10.3306
8.78322, -10.3515
8.81773, -10.3946
8.88557, -10.4407
8.93782, -10.4426
9.00066, -10.4753
9.05039, -10.5509
9.09116, -10.5988
9.15267, -10.6151
9.19352, -10.6448
9.23546, -10.6758
9.25712, -10.7214
9.30669, -10.7563
9.3477, -10.8038
9.42443, -10.8098
9.49564, -10.8109
9.56687, -10.8532
9.69079, -10.8764
9.71347, -10.9302
9.74693, -10.9793
9.80569, -11.0237
9.85564, -11.0587
9.84911, -11.1112
9.92461, -11.1753
9.99859, -11.1873
10.0496, -11.1641
10.1091, -11.1499
10.1588, -11.1608
10.235, -11.1178
10.3015, -11.0893
10.3446, -11.0616
10.3961, -11.0619
10.4982, -11.0233
10.5708, -10.9779
10.6272, -10.9122
10.6697, -10.8694
10.7043, -10.8244
10.7455, -10.7223
10.7581, -10.6488
10.8086, -10.6241
10.846, -10.5721
10.9049, -10.527
10.9486, -10.4724
11.0074, -10.4172
11.0204, -10.3606
11.0103, -10.2783
11.0654, -10.2207
11.0844, -10.1644
11.1298, -10.0958
11.1823, -10.0377
11.2063, -9.98326
11.2278, -9.9225
11.2591, -9.86893
11.306, -9.84292
11.3387, -9.78381
11.3666, -9.71699
11.3693, -9.65826
11.4288, -9.61516
11.4735, -9.58543
11.4596, -9.53674
